SKU,PRODUCT_DESCRIPTION,STOCK_LEVEL
9074009103,Propel Advanced SL 0 Dura-Ace (2025),0
9074009104,Propel Advanced SL 0 Dura-Ace (2025),0
9074009105,Propel Advanced SL 0 Dura-Ace (2025),1
9074009106,Propel Advanced SL 0 Dura-Ace (2025),0
9074009107,Propel Advanced SL 0 Dura-Ace (2025),0
9074009108,Propel Advanced SL 0 Dura-Ace (2025),0
1906004103,Propel Advanced SL Frameset (2025),0
1906004104,Propel Advanced SL Frameset (2025),0
1906004105,Propel Advanced SL Frameset (2025),0
1906004106,Propel Advanced SL Frameset (2025),0
1906004107,Propel Advanced SL Frameset (2025),0
1906004108,Propel Advanced SL Frameset (2025),0
1906004203,Propel Advanced SL Frameset (2025),0
1906004204,Propel Advanced SL Frameset (2025),0
1906004205,Propel Advanced SL Frameset (2025),0
1906004206,Propel Advanced SL Frameset (2025),0
1906004207,Propel Advanced SL Frameset (2025),0
1906004208,Propel Advanced SL Frameset (2025),0
9074015103,Propel Advanced Pro 1 (2025),0
9074015104,Propel Advanced Pro 1 (2025),1
9074015105,Propel Advanced Pro 1 (2025),0
9074015106,Propel Advanced Pro 1 (2025),0
9074015107,Propel Advanced Pro 1 (2025),0
9074015108,Propel Advanced Pro 1 (2025),0
9074007103,Propel Advanced Pro 0 Di2 (2025),0
9074007104,Propel Advanced Pro 0 Di2 (2025),0
9074007105,Propel Advanced Pro 0 Di2 (2025),0
9074007106,Propel Advanced Pro 0 Di2 (2025),0
9074007107,Propel Advanced Pro 0 Di2 (2025),0
9074007108,Propel Advanced Pro 0 Di2 (2025),0
1913007503,TCR Advanced SL Team Frameset (2025),0
1913007504,TCR Advanced SL Team Frameset (2025),0
1913007505,TCR Advanced SL Team Frameset (2025),0
1913007506,TCR Advanced SL Team Frameset (2025),1
1913007507,TCR Advanced SL Team Frameset (2025),0
1913007508,TCR Advanced SL Team Frameset (2025),1
1913007103,TCR Advanced SL Frameset,0
1913007104,TCR Advanced SL Frameset,0
1913007105,TCR Advanced SL Frameset,0
1913007106,TCR Advanced SL Frameset,0
1913007107,TCR Advanced SL Frameset,0
1913007108,TCR Advanced SL Frameset,1
1913007203,TCR Advanced SL Frameset,0
1913007204,TCR Advanced SL Frameset,0
1913007205,TCR Advanced SL Frameset,0
1913007206,TCR Advanced SL Frameset,0
1913007207,TCR Advanced SL Frameset,1
1913007208,TCR Advanced SL Frameset,1
1913007303,TCR Advanced SL Frameset,0
1913007304,TCR Advanced SL Frameset,1
1913007305,TCR Advanced SL Frameset,1
1913007306,TCR Advanced SL Frameset,0
1913007307,TCR Advanced SL Frameset,1
1913007308,TCR Advanced SL Frameset,1
9096032103,TCR Advanced SL 0 Red,0
9096032104,TCR Advanced SL 0 Red,0
9096032105,TCR Advanced SL 0 Red,0
9096032106,TCR Advanced SL 0 Red,0
9096032107,TCR Advanced SL 0 Red,1
9096032108,TCR Advanced SL 0 Red,1
9096031103,TCR Advanced SL 0,0
9096031104,TCR Advanced SL 0,0
9096031105,TCR Advanced SL 0,0
9096031106,TCR Advanced SL 0,0
9096031107,TCR Advanced SL 0,1
9096031108,TCR Advanced SL 0,1
9096033103,TCR Advanced SL 1,0
9096033104,TCR Advanced SL 1,1
9096033105,TCR Advanced SL 1,0
9096033106,TCR Advanced SL 1,0
9096033107,TCR Advanced SL 1,0
9096033108,TCR Advanced SL 1,0
